Json Question,Generator Question,Answer,Bleu Score
II. Selim'in ölüm tarihi nedir?,II. Selim hangi tarihte vefat etmiştir?,15 Aralık 1574,0.08116697886877472
II. Selim Osmanlın'nın kaçıncı padişahıdır?,II. Selim kaçıncı Osmanlı padişahıdır?,11.,0.25406637407730737
II. Selim padişah olur olmaz ilk seferini nereye yaptı?,II. Selim ilk seferini hangi ülkeye yaptı?,Batı’ya,0.14759564526951546
II. Selim döneminde kayıtsız şartsız teslim olanlar nerelerdi?,II. Selim hangi ülkeler kayıtsız şartsız teslim olanlar arasındaydı?,"Kıbrıs, Tunus",0.3549481056010053
II. Selim döneminde yetişen kaptanlardan biri kimdir?,II. Selim kimin zamanında yetişti?,Turgut Reis,0.14320952289897707
II. Selim nereye gömülmüştür?,II. Selim 15 Aralık 1574 günü vefat etmiştir?,Ayasofya'daki türbesine,0.11044795567078944
II. Selim padişahlığı nereye kadar sürmüştür?,II. Selim padişahlığını nereye kadar sürdürmüştür?,Ölümüne kadar,0.2295748846661433
III. Murad'ın ölüm yeri neresidir?,Hangi şehir daha önce defalarca kuşatılmıştı?,İstanbul,0.0
Mostaganem Savaşı hangi tarihte oldu?,"Hangi yılda Osmanlı Devleti ile İspanyol İmparatorluğu - Fas Sultanlığı arasında yapılan, Osmanlı zaferiyle sonuçlanan savaş oldu?",1558 yılında,0.02286956778061901
III. Murad babası padişah olduktan sonra nereye gönderildi?,III. Murad babası padişah olduktan sonra hangi sancakbeyliğe gönderildi?,Manisa Sancakbeyliğine,0.6104735835807844
III. Murad ne zaman tahta geçti?,III. Murad hangi tarihte İstanbul'a gelerek Osmanlı tahtına oturdu?,22 Aralık 1574'te,0.09535414040914189
19. Yüzyıl başlarında hangi devletler Sırbistan’da halkı Osmanlı egemenliğine karşı kışkırtmıştır ?,19. yüzyıl başlarında kimler Sırbistan'da halkı Osmanlı egemenliğine karşı kışkırtma siyaseti uygulamaya başlamışlardı?,Avusturya ve Rusya,0.21401603033752975
Sırplar kimin önderliğinde ayaklandılar ?,Kim 21 Eylül 1813'te diğer isyancılarla birlikte canını kurtarmak için Avusturya'ya kaçtı?,Kara Yorgi,0.0
Kara Yorgi ve isyancılar canlarını kurtarmak için Avusturya'ya ne zaman kaçtılar ?,Kara Yorgi ne zaman diğer isyancılarla birlikte canını kurtarmak için Avusturya'ya kaçtı?,21 Eylül 1813'te,0.18527972555830952
III. Selim boğazları hangi tarihte kapattı ?,III. Selim ne zaman boğazları kapattı ve Rusya'ya savaş ilan etti?,22 Aralık 1805 tarihinde,0.08913765521398126
Rus donanması Osmanlı donanmasını hangi tarihte Çanakkale boğazı civarında yendi ?,Rus donanması Osmanlı donanmasını hangi tarihte Çanakkale boğazı civarında 19-29 Haziran 1807 tarihleri arasında da Limni adası yakınında civarında yendi?,11 Mayıs 1807 tarihinde,0.401577332834242
Tilsit Antlaşması ne zaman imzalanmıştır ?,Tilsit Antlaşması hangi tarihte imzalanmıştır?,9 Temmuz 1807 yılında,0.1749165062636126
Tilsit Antlaşması hangi devletler arasında imzalanmıştır ?,"Tilsit Antlaşması, 9 Temmuz 1807 yılında hangi iki devlet arasında imzalanan antlaşmadır?",Fransa ile Rusya,0.044568827606990644
Osmanlının paylaşılması durumunda hangi şehirlere dokunulmayacaktı ?,Sadece kime dokunulmayacaktı?,İstanbul ve Rumeli'ye,0.0
Kavalalı Mehmet Ali Paşa nerede başı bozuk askerin belli bir disiplin altına alınmasını sağlamıştır ?,"Askeri yeteneklere de sahip olan Kavalalı Mehmet Ali Paşa nerede başı bozuk askerin belli bir disiplin altına alınmasını sağlamış, başarı gösterdiği için Mısır'a vali olmuştu?",Kahire'de,0.48758897719987776
Kavalalı Mehmet Ali Paşa kimin desteğiyle kuvvetli bir ordu ve donanma kurmuştur ?,kimin desteğiyle kuvvetli bir ordu ve donanma kurmuş?,Fransızların desteğiyle,0.4500994164652013
"Kavalalı Mehmet Ali Paşa, Mora isyanı sırasında Mora ve Girit valiliklerinin kendisine verilmesi şartıyla kime yardım etmişti ?","Kavalalı Mehmet Ali Paşa, Mora isyanı sırasında Mora ve Girit valiliklerinin kendisine verilmesi şartıyla kime yardım etmişti?",Sultan İkinci Mahmut'a,0.8817122476287481
Kim Mora isyanı sırasında Mora ve Girit valiliklerinin kendisine verilmesi şartıyla Sultan İkinci Mahmut'a yardım etmişti ?,"Mora valiliği yerine Suriye valiliğini isteyen kim, bu isteğinin reddedilmesi üzerine Suriye'yi işgal etti?",Kavalalı Mehmet Ali Paşa,0.022920842316175777
Kim isyan sırasında Suriye'yi aldı ? ,Kim isyan sırasında Suriye'yi aldı?,Kavalalı Mehmet Ali Paşa'nın oğlu olan İbrahim Paşa,0.5475182535069453
"Kavalalı Mehmet Ali Paşa'nın oğlu olan İbrahim Paşa, ne zaman Suriye'yi aldı ?","Kavalalı Mehmet Ali Paşa'nın oğlu olan İbrahim Paşa, hangi sırada Suriye'yi aldı?",isyan sırasında,0.5810588684968079
Torosları geçen İbrahim Paşa nerede Osmanlı kuvvetlerini yenilgiye uğrattı ?,Torosları geçen İbrahim Paşa nerede Osmanlı kuvvetlerini yenilgiye uğrattı?,Adana ve Konya'da,0.7725505949016372
Kütahya Antlaşması kimler arasında imzalandı ?,"Kütahya Antlaşması, hangi devletler arasında 14 Mayıs 1833 tarihinde imzalanan, Birinci Mısır-Osmanlı Savaşını sona erdirip Şam, Girit ve Adana vilayetlerinin yeni statüsünü belirleyen bir barış ve düzenleme antlaşmasıdır?",Osmanlı İmparatorluğu ile Mısır Valisi Kavalalı Mehmet Ali Paşa arasında,0.015880117714047366
"İzvança Savaşı galibiyetine karşın, hangi imparatorluk, önemli ölçüde tahribata uğrattığı Lehistan'ın, Avusturya ile ittifaka girmesine neden oldu?","İzvança Savaşı galibiyetine karşın, hangi imparator, önemli ölçüde tahribata uğrattığı Lehistan'ın, Avusturya ile ittifaka girmesine neden oldu?",Osmanlı İmparatorluğu,0.8282477531331041
Kim bu yardımına karşılık Mora’yı istedi ?,"Osmanlılar Suriye’yi kim kime vermek istemeyince Mehmet Ali Paşa saldırıya geçti ve önce Konya, sonra da Kütahya’ya kadar ilerledi?",Mehmet Ali Paşa,0.0
Yunanistan bağımsız olunca Mora da nereye katıldı ?,Yunanistan bağımsız olunca Mora da nereye katıldı ve Mehmet Ali Paşa bu sefer Suriye valiliğini istedi?,Yunanistan'a,0.37239098949398236
Osmanlıların Rusları 1711 yılında Prut'ta yenmesi İsveç'i rahatlattıysa da kimler savaştan çabuk çekildi?,Kim Rusları 1711 yılında Prut'ta yenmesi İsveç'i rahatlattıysa da Osmanlılar savaştan çabuk çekildi?,Osmanlılar,0.6703420896351792
Ne imzalandı ?,"Meselenin iyice püsküllü bir hal alması Sultan II. Mahmud'u şaşırttığından, o sırada Rusya Devleti tarafından sunulan yardım teklifi kabul edildi ve hangi antlaşma imzalandı?",Hünkar İskelesi Antlaşması,0.0
Kimin tarafından sunulan yardım teklifi kabul edildi ?,"Meselenin iyice püsküllü bir hal alması Sultan II. Mahmud'u şaşırttığından, o sırada kim tarafından sunulan yardım teklifi kabul edildi?",Rusya Devleti tarafından,0.18951629567590741
Mısır'da müstakil bir devlet kurmayı düşleyen Mehmed Ali Paşa isyan bayrağını resmen ne zaman açmış ?,Mehmed Ali Paşa ne zaman isyan bayrağını resmen açmış?,1832 yılında,0.155806278394634
"Mısır ordusu, Konya’da Sadrazam Mehmed Reşid Paşa kumandasındaki Osmanlı ordusunu ne zaman yendi ?",Mısır ordusu ne zaman Konya’da Sadrazam Mehmed Reşid Paşa kumandasındaki Osmanlı ordusunu yendi?,21 Aralık 1832’de,0.5799150677091909
"Tek başına harekete geçerek, Osmanlı Devleti'ne bir ittifak teklifinde bulunan kimdir ?","Kim tek başına harekete geçerek, Osmanlı Devleti'ne bir ittifak teklifinde bulundu?",Rusya,0.6196760459608335
"Nerede denetimi ele geçiren isyancılar, sadrazamlığa Kavanoz Ahmed Paşa'yı, şeyhülislamlığa da İmam Mehmed Efendi'yi getirdiler?","nerede denetimi ele geçiren isyancılar, sadrazamlığa Kavanoz Ahmed Paşa'yı, şeyhülislamlığa da İmam Mehmed Efendi'yi getirdiler?",İstanbul'da,0.9253911813809743
Kim 27. Osmanlı padişahı ve 106. İslam halifesidir?,Kim 27. Osmanlı padişahı ve 106. İslam halifesidir?,I. Abdülhamid,1.0
"IV. Murad, saltanatının ilk zamanlarında küçük yaşından ötürü kimin etkisi altında kaldı?","1623 yılında sultan olan IV.Murad, saltanatının ilk zamanlarında küçük yaşından ötürü kimin etkisi altında kaldı?",annesinin,0.6262844962765469
Bazı kaynaklarda IV. Mustafa'nın annesinin kim olduğu iddia edilir?,Bazı kaynaklarda IV. Mustafa'nın annesinin neyi olduğu iddia edilir?,Nükhetsezâ Hanım,0.5969491792019646
"Osmanlı-Venedik Antlaşması, hangi devlet ile Venedik Cumhuriyeti arasında imzalanmıştır?",Osmanlı-Venedik Antlaşması hangi devlet ile Venedik Cumhuriyeti arasında imzalanmıştır?,Osmanlı Devleti,0.7506238537503395
"Hangi devlet ve Rus Çarlığı, Dinyeper Irmağı ile güney Buğ Irmağı arasında yerleşme yapılmamasını garanti etti?",Kim taht kavgalarıyla meşguldü?,Osmanlı,0.0
Kimlerin Dinyeper Irmağı ve yan ırmakları üzerinde balıkçılık yapma hakları değişmeden kalacaktı?,Hangi Kazakların Dinyeper Irmağı ve yan ırmakları üzerinde balıkçılık yapma hakları değişmeden kalacaktı?,Zaporozhtsi Kazaklarının,0.8242367502646054
"IV. Mehmed ve Turhan Sultan'dan tam yetki alan kim, İstanbul ve Anadolu'da güvenliği sağladı?",1656 yılında iç ve dış sorunlara çözüm bulmak üzere Turhan Sultan tarafından sadrazamlığa kim getirildi?,Köprülü Mehmet Paşa,0.031251907639724415
Ne zaman sadrazamlığa Fazıl Ahmet Paşa geldi?,kimin ölümünden sonra sadrazamlığa Fazıl Ahmet Paşa geldi?,Köprülü Mehmet Paşa'nın ölümünden sonra,0.5169731539571706
"Kim, Avusturya'dan Uyvar Kalesini alıp Vasvar Antlaşması'nı imzaladı?",Kim Avusturya'dan Uyvar Kalesini alıp Vasvar Antlaşması'nı imzaladı?,Fazıl Ahmet Paşa,0.8408964152537145
"II. Osman, planlarını uygulayacak ne bulamadı?",II. Osman kendisine planlarını uygulayacak bir neyi bulamadı?,sadrazam,0.13134549472120793
II. Osman muhalefetlere rağmen neye karar verdi?,"II. Osman, kendisine yapılan muhalefetlere rağmen hangi sefere karar verdi?",Lehistan seferine,0.12549310621989482
"IV. Mehmed, sadrazam ile birlikte Lehistan seferine çıktı ve ne zaman Bucaş Antlaşması'nı imzaladıktan sonra Edirne'ye döndü?","IV. Mehmed, sadrazam ile birlikte Lehistan seferine çıktı ve hangi yılda Bucaş Antlaşması'nı imzaladıktan sonra Edirne'ye döndü?",1672 yılında,0.762465858623486
"IV. Mehmed, sadrazam ile birlikte Lehistan seferine çıktı ve ne zaman Edirne'ye döndü?","IV. Mehmed, sadrazam ile birlikte Lehistan seferine çıktı ve hangi antlaşmadan sonra Edirne'ye döndü?",1672 yılında Bucaş Antlaşması'nı imzaladıktan sonra,0.6450001140844255
Neden ertesi yıl yeniden sefere çıkıldı ve savaş 1676 yılında son buldu?,1676 yılında ne sebeple ertesi yıl yeniden sefere çıkıldı ve savaş 1676 yılında son buldu?,Lehistan'ın antlaşma şartlarına uymaması yüzünden,0.7012055133086459
"1676 yılında Fazıl Ahmet Paşa ölünce IV. Mehmed, sadrazamlığa kimi getirdi?","1676 yılında Fazıl Ahmet Paşa ölünce IV. Mehmed, sadrazamlığa neyi getirdi?",Köprülü ailesinin yetiştirdiği Merzifonlu Kara Mustafa Paşa'yı,0.8070557274927981
"Hangi ülkenin ileri görüşlü Çarı Deli Petro, İsveç tehdidini bertaraf etmek için harekete geçti?","kimin ileri görüşlü Çarı Deli Petro, İsveç tehdidini bertaraf etmek için harekete geçti?",Rusya'nın,0.8446319809857226
"IV. Mehmed, sadrazamla birlikte ne için sefere çıktı","IV. Mehmed, sadrazamla birlikte ne için sefere çıktı?",Rusya'nın ele geçirdiği Çehrin kalesini geri almak için,0.8408964152537145
Neyin ardından Osmanlı ordusu 1678'de Edirne'ye döndü?,1678'de Osmanlı ordusu neyin ardından Edirne'ye döndü?,Kalenin alınmasının,0.20556680845025987
"Hangi ordu Pul-i Şikeste Savaşı'nda yenilmesine rağmen, İranlılar, Erdebil şehrinin Osmanlılar'ın eline geçme ihtimali üzerine barış istediler?","Kim Pul-i Şikeste Savaşı'nda yenilmesine rağmen, İranlılar, Erdebil şehrinin Osmanlılar'ın eline geçme ihtimali üzerine barış istediler?",Osmanlı ordusu,0.8742223609582066
Kaç yılında Ruslarla 20 yıl süreli bir barış antlaşması yapıldı?,hangi yılda Ruslarla 20 yıl süreli bir barış antlaşması yapıldı?,1681 yılında,0.7598356856515925
1681 yılında kimlerle 20 yıl süreli bir barış antlaşması yapıldı?,24 Eylül 1805 tarihinde Osmanlılar kime yeni bir dostluk antlaşması imzaladılar?,Ruslarla,0.044568827606990644
Kasr-ı Şirin Antlaşması ne çeşit bir antlaşmadır?,Kasr-ı Şirin Antlaşması hangi antlaşmadır?,barış antlaşmasıdır.,0.28641904579795413
"Hangi devletin Bucaş Antlaşması'ndaki vergi maddesini kabul etmemesi üzerine, 1672-1676 Osmanlı-Lehistan Savaşı başladı?","Hangi ülke, Bucaş Antlaşması'ndaki vergi maddesini kabul etmemesi üzerine, 1672-1676 Osmanlı-Lehistan Savaşı başladı?",Lehistan,0.842362674378975
"Bucaş Antlaşması, hangi devletin toprak kazandığı son antlaşmadır?","Bucaş Antlaşması, kimin toprak kazandığı son antlaşmadır?",Osmanlı Devleti'nin,0.42383656282787796
"Bucaş Antlaşması, Osmanlı Devleti'nin ne kazandığı son antlaşmadır?","Bucaş Antlaşması, Osmanlı Devleti'nin neyi kazandığı son antlaşmadır?",toprak,0.5
"Büyük Kuzey Savaşı, Vestfalya Barışı sonrası nereyi yeniden şekillendiren savaşlar dizisidir?","Büyük Kuzey Savaşı, Vestfalya Barışı sonrası hangi ülkeyi yeniden şekillendiren savaşlar dizisidir?",Kuzey Avrupa'yı,0.6340466277046861
"Hangi savaş sırasında sırasında II. Gustaf Adolf önderliğinde İsveç orduları, Avrupa içlerine dek girmiş, Fransa sınırına dek tüm Alman birliklerini süpürmüştü?","hangi savaş sırasında II. Gustaf Adolf önderliğinde İsveç orduları, Avrupa içlerine dek girmiş, Fransa sınırına dek tüm Alman birliklerini süpürmüştü?",Otuz Yıl Savaşı sırasında,0.8719033716275264
Hangi ülke savaştan mağlup ayrılmış oldu?,hangi ülke savaştan mağlup ayrılmış oldu?,İsveç,0.7598356856515925
"Otuz Yıl Savaşı sırasında II. Gustaf Adolf önderliğinde İsveç orduları, nereye dek girmiş, Fransa sınırına dek tüm Alman birliklerini süpürmüştü?","Otuz Yıl Savaşı sırasında II. Gustaf Adolf önderliğinde İsveç orduları, neye dek girmiş, Fransa sınırına dek tüm Alman birliklerini süpürmüştü?",Avrupa içlerine,0.8578928092681435
"Otuz Yıl Savaşı sırasında II. Gustaf Adolf önderliğinde İsveç orduları, Avrupa içlerine dek girmiş, Fransa sınırına dek neleri süpürmüştü?","Otuz Yıl Savaşı sırasında II. Gustaf Adolf önderliğinde İsveç orduları, Avrupa içlerine dek girmiş, Fransa sınırına dek neyi süpürmüştü?",tüm Alman birliklerini,0.8979542144404234
"İsveç'in bu şaşırtıcı gücü, kimi bile ürkütecek boyuttaydı?","İsveç'in bu şaşırtıcı gücü, neyi bile ürkütecek boyuttaydı?",müttefiki Fransa'yı,0.5
"Kim, ordusunun başına geçerek ittifak güçleriyle savaştı?",Kim ordusunun başına geçerek ittifak güçleriyle savaştı?,İsveç'in genç ve dinamik kralı Demirbaş Şarl,0.8091067115702212
"İsveç'in genç ve dinamik kralı Demirbaş Şarl, ordusunun başına geçerek kimlerle savaştı?","İsveç'in genç ve dinamik kralı Demirbaş Şarl, ordusunun başına geçerek neyleriyle savaştı?",ittifak güçleriyle,0.8265168183793802
"Nerede İspanya Veraset Savaşı sürmekte olduğu için İsveç, Fransa'nın yardımından mahrumdu?","İspanya Veraset Savaşı nerede sürmekte olduğu için İsveç, Fransa'nın yardımından mahrumdu?",Avrupa'nın batısında,0.7016879391277372
"Avrupa'nın batısında İspanya Veraset Savaşı sürmekte olduğu için İsveç, hangi ülkenin yardımından mahrumdu?","Avrupa'nın batısında İspanya Veraset Savaşı sürmekte olduğu için İsveç, kimin yardımından mahrumdu?",Fransa'nın,0.7076618839098693
"Demirbaş Şarl, kimleri de 1700 yılında Narva'da yendi?","Demirbaş Şarl, kimler de 1700 yılında Narva'da yendi?",Rusları da,0.5946035575013605
